#time	observable	value
20.15 	ideal_proj	3.9986403571427e-06

20.2 	ideal_proj	3.97813786965163e-06

20.25 	ideal_proj	3.93722457938102e-06

20.3 	ideal_proj	3.87725723022311e-06

20.35 	ideal_proj	3.79998759746687e-06

20.4 	ideal_proj	3.70750237998117e-06

20.45 	ideal_proj	3.60215271495869e-06

20.5 	ideal_proj	3.48647485227185e-06

20.55 	ideal_proj	3.36310562055621e-06

20.6 	ideal_proj	3.23469662089726e-06

20.65 	ideal_proj	3.10382849125501e-06

20.7 	ideal_proj	2.97293289347446e-06

20.75 	ideal_proj	2.84422123441024e-06

20.8 	ideal_proj	2.71962534785367e-06

20.85 	ideal_proj	2.60075129025573e-06

20.9 	ideal_proj	2.48884753715204e-06

20.95 	ideal_proj	2.38478896817665e-06

21 	ideal_proj	2.28907598672049e-06

21.05 	ideal_proj	2.20184848076661e-06

21.1 	ideal_proj	2.12291262226859e-06

21.15 	ideal_proj	2.05177947963252e-06

21.2 	ideal_proj	1.98771228217387e-06

21.25 	ideal_proj	2.05006462309367e-06

21.3 	ideal_proj	2.11946648862785e-06

21.35 	ideal_proj	2.19628996307427e-06

21.4 	ideal_proj	2.28062280387272e-06

21.45 	ideal_proj	2.37223977630341e-06

21.5 	ideal_proj	2.47058533733275e-06

21.55 	ideal_proj	2.5747691483926e-06

21.6 	ideal_proj	2.68357540055982e-06

21.65 	ideal_proj	2.79548522157324e-06

21.7 	ideal_proj	2.908712676309e-06

21.75 	ideal_proj	3.02125250728059e-06

21.8 	ideal_proj	3.13093820161193e-06

21.85 	ideal_proj	3.23550815654923e-06

21.9 	ideal_proj	3.3326769266762e-06

21.95 	ideal_proj	3.42020920456094e-06

22 	ideal_proj	3.4959927438739e-06

22.05 	ideal_proj	3.55810792694396e-06

22.1 	ideal_proj	3.60489071814409e-06

22.15 	ideal_proj	3.63498644452537e-06

22.2 	ideal_proj	3.6473924146577e-06

22.25 	ideal_proj	3.64148766022759e-06

22.3 	ideal_proj	3.61704963417901e-06

22.35 	ideal_proj	3.57425585926532e-06

22.4 	ideal_proj	3.51367275354006e-06

22.45 	ideal_proj	3.43623097025694e-06

22.5 	ideal_proj	3.34318949235796e-06

22.55 	ideal_proj	3.23609067193065e-06

22.6 	ideal_proj	3.11670667199654e-06

22.65 	ideal_proj	2.98698199731477e-06

22.7 	ideal_proj	3.16117380516089e-06

22.75 	ideal_proj	3.36886715158191e-06

22.8 	ideal_proj	3.61548976987388e-06

22.85 	ideal_proj	3.90638711753518e-06

22.9 	ideal_proj	4.24662584076538e-06

22.95 	ideal_proj	4.64077863926772e-06

23 	ideal_proj	5.0926982808919e-06

23.05 	ideal_proj	5.60528899528154e-06

23.1 	ideal_proj	6.18028323482145e-06

23.15 	ideal_proj	6.81803539000297e-06

23.2 	ideal_proj	7.51734223056933e-06

23.25 	ideal_proj	8.27529949533583e-06

23.3 	ideal_proj	9.08720473893768e-06

23.35 	ideal_proj	9.94651474899642e-06

23.4 	ideal_proj	1.08448629947777e-05

23.45 	ideal_proj	1.17721419386241e-05

23.5 	ideal_proj	1.27166512582664e-05

23.55 	ideal_proj	1.3665312183166e-05

23.6 	ideal_proj	1.46039413160058e-05

23.65 	ideal_proj	1.55175783820359e-05

23.7 	ideal_proj	1.63908586412436e-05

23.75 	ideal_proj	1.72084164145886e-05

23.8 	ideal_proj	1.79553063918388e-05

23.85 	ideal_proj	1.86174278249638e-05

23.9 	ideal_proj	1.91819353366393e-05

23.95 	ideal_proj	1.96376184851213e-05

24 	ideal_proj	1.99752418775564e-05

24.05 	ideal_proj	2.01878235824902e-05

24.1 	ideal_proj	2.02708459881148e-05

24.15 	ideal_proj	2.0000984875944e-05

24.2 	ideal_proj	1.96041139445106e-05

24.25 	ideal_proj	1.90886698667609e-05

24.3 	ideal_proj	1.8465292350938e-05

24.35 	ideal_proj	1.77464883380036e-05

24.4 	ideal_proj	1.69462485060496e-05

24.45 	ideal_proj	1.60796260055488e-05

24.5 	ideal_proj	1.51622994928772e-05

24.55 	ideal_proj	1.42101336580368e-05

24.6 	ideal_proj	1.32387534634893e-05

24.65 	ideal_proj	1.22631488108484e-05

24.7 	ideal_proj	1.12973210377571e-05

24.75 	ideal_proj	1.03539822253919e-05

24.8 	ideal_proj	9.44431523906231e-06

24.85 	ideal_proj	8.5777990884392e-06

24.9 	ideal_proj	7.76210155827622e-06

24.95 	ideal_proj	7.00303793114424e-06

25 	ideal_proj	6.30459229334216e-06

25.05 	ideal_proj	5.66899507349363e-06

25.1 	ideal_proj	5.09684862230461e-06

25.15 	ideal_proj	4.58729346163874e-06

25.2 	ideal_proj	4.13820249904709e-06

25.25 	ideal_proj	3.74639485047113e-06

25.3 	ideal_proj	3.40785952022571e-06

25.35 	ideal_proj	3.11797792971973e-06

25.4 	ideal_proj	2.87173863607414e-06

25.45 	ideal_proj	2.66393656679459e-06

25.5 	ideal_proj	2.48935135892576e-06

25.55 	ideal_proj	2.58979124810291e-06

25.6 	ideal_proj	2.6819708784762e-06

25.65 	ideal_proj	2.76456691034585e-06

25.7 	ideal_proj	2.8364090250323e-06

25.75 	ideal_proj	2.89651595119866e-06

25.8 	ideal_proj	2.94412502436433e-06

25.85 	ideal_proj	2.97871508279447e-06

25.9 	ideal_proj	3.00002292662099e-06

25.95 	ideal_proj	3.00804957497492e-06

26 	ideal_proj	3.00305783336811e-06

26.05 	ideal_proj	2.98556303151262e-06

26.1 	ideal_proj	2.95631194732062e-06

26.15 	ideal_proj	2.9162561558211e-06

26.2 	ideal_proj	2.86651841641754e-06

26.25 	ideal_proj	2.80835374957396e-06

26.3 	ideal_proj	2.74310658936731e-06

26.35 	ideal_proj	2.67216672595766e-06

26.4 	ideal_proj	2.596924991373e-06

26.45 	ideal_proj	2.51873110121674e-06

26.5 	ideal_proj	2.43885466622393e-06

26.55 	ideal_proj	2.35845161399027e-06

26.6 	ideal_proj	2.27853658893995e-06

26.65 	ideal_proj	2.19996245137591e-06

26.7 	ideal_proj	2.12340735053338e-06

26.75 	ideal_proj	2.04936957140966e-06

26.8 	ideal_proj	1.97816958665764e-06

26.85 	ideal_proj	1.90995930684138e-06

26.9 	ideal_proj	1.84473721880947e-06

26.95 	ideal_proj	1.78236842516242e-06

27 	ideal_proj	1.83325171048402e-06

27.05 	ideal_proj	1.88689477520714e-06

27.1 	ideal_proj	1.94328293655574e-06

27.15 	ideal_proj	2.00224448041837e-06

27.2 	ideal_proj	2.06344144557288e-06

27.25 	ideal_proj	2.12636718874532e-06

27.3 	ideal_proj	2.19035067271364e-06

27.35 	ideal_proj	2.25456790641987e-06

27.4 	ideal_proj	2.3180604149953e-06

27.45 	ideal_proj	2.3797596451139e-06

27.5 	ideal_proj	2.43851710741628e-06

27.55 	ideal_proj	2.49313867890001e-06

27.6 	ideal_proj	2.54242185419367e-06

27.65 	ideal_proj	2.58519437146098e-06

27.7 	ideal_proj	2.6203529311721e-06

27.75 	ideal_proj	2.64689984491e-06

27.8 	ideal_proj	2.66397673434953e-06

27.85 	ideal_proj	2.67089323231094e-06

27.9 	ideal_proj	2.66715035360475e-06

27.95 	ideal_proj	2.652457107337e-06

28 	ideal_proj	2.62673957878217e-06

28.05 	ideal_proj	2.59014291680232e-06

28.1 	ideal_proj	2.54302617161107e-06

28.15 	ideal_proj	2.48594941885601e-06

28.2 	ideal_proj	2.41965527007992e-06

28.25 	ideal_proj	2.34504514414784e-06

28.3 	ideal_proj	2.26315056155345e-06

28.35 	ideal_proj	2.17510223429652e-06

28.4 	ideal_proj	2.08209743945647e-06

28.45 	ideal_proj	2.20246247395722e-06

28.5 	ideal_proj	2.34426645865083e-06

28.55 	ideal_proj	2.51070627159059e-06

28.6 	ideal_proj	2.70489072731366e-06

28.65 	ideal_proj	2.9297231052239e-06

28.7 	ideal_proj	3.18777428039849e-06
