#time	operator	index_1	index_2	index_3	value
1.9	XZZ	17	21	13	0.874670943910623
1.9	XZZ	13	17	9	0.836004025872268
1.9	XZZ	9	13	5	0.157800379851114
1.9	XZZ	5	9	1	0.165834465168037

1.95	XZZ	1	5	3	0.804353423172854
1.95	XZZ	3	1	7	0.834422495212947
1.95	XZZ	7	3	11	0.862525833098451
1.95	XZZ	11	7	15	0.81412258563752
1.95	XZZ	15	11	19	0.716849678725213
1.95	XZZ	19	15	23	0.745334573162442
1.95	XZZ	23	19	21	0.805200666606381
1.95	XZZ	21	23	17	0.835751555907865
1.95	XZZ	17	21	13	0.866394821289015
1.95	XZZ	13	17	9	0.828584695618209
1.95	XZZ	9	13	5	0.120950399786369
1.95	XZZ	5	9	1	0.126621088407092

2	XZZ	1	5	3	0.789901980169348
2	XZZ	3	1	7	0.821953863906149
2	XZZ	7	3	11	0.851872929402325
2	XZZ	11	7	15	0.804610468333792
2	XZZ	15	11	19	0.691711056654972
2	XZZ	19	15	23	0.729226584398688
2	XZZ	23	19	21	0.793526128181605
2	XZZ	21	23	17	0.824570997107858
2	XZZ	17	21	13	0.857772664786242
2	XZZ	13	17	9	0.820931582460362
2	XZZ	9	13	5	0.0872663814509773
2	XZZ	5	9	1	0.0904715620970498

2.05	XZZ	1	5	3	0.775039929128867
2.05	XZZ	3	1	7	0.809083337193247
2.05	XZZ	7	3	11	0.840817620417975
2.05	XZZ	11	7	15	0.794679544187371
2.05	XZZ	15	11	19	0.665772487885465
2.05	XZZ	19	15	23	0.712694067471075
2.05	XZZ	23	19	21	0.781548188791659
2.05	XZZ	21	23	17	0.81303834900599
2.05	XZZ	17	21	13	0.848814520024535
2.05	XZZ	13	17	9	0.813051523636921
2.05	XZZ	9	13	5	0.0570565505081133
2.05	XZZ	5	9	1	0.057751682461114

2.1	XZZ	1	5	3	0.759790238357555
2.1	XZZ	3	1	7	0.795827665246282
2.1	XZZ	7	3	11	0.829372891618768
2.1	XZZ	11	7	15	0.784343070599387
2.1	XZZ	15	11	19	0.639101926976039
2.1	XZZ	19	15	23	0.695767936117195
2.1	XZZ	23	19	21	0.769280894528268
2.1	XZZ	21	23	17	0.801167035272215
2.1	XZZ	17	21	13	0.83952952886052
2.1	XZZ	13	17	9	0.80495021069805
2.1	XZZ	9	13	5	0.0305872069675218
2.1	XZZ	5	9	1	0.0287831049172482

2.15	XZZ	1	5	3	0.744175263061685
2.15	XZZ	3	1	7	0.782203858261005
2.15	XZZ	7	3	11	0.817551780859579
2.15	XZZ	11	7	15	0.773614005784817
2.15	XZZ	15	11	19	0.611768703923174
2.15	XZZ	19	15	23	0.678478906857496
2.15	XZZ	23	19	21	0.756737648853217
2.15	XZZ	21	23	17	0.788970275779981
2.15	XZZ	17	21	13	0.829926744108718
2.15	XZZ	13	17	9	0.79663313940937
2.15	XZZ	9	13	5	0.00808051483267658
2.15	XZZ	5	9	1	0.00384024972821087

2.2	XZZ	1	5	3	0.728219881513298
2.2	XZZ	3	1	7	0.768230605834246
2.2	XZZ	7	3	11	0.805369212546722
2.2	XZZ	11	7	15	0.762507551728841
2.2	XZZ	15	11	19	0.58384427544302
2.2	XZZ	19	15	23	0.660859607598065
2.2	XZZ	23	19	21	0.743934035947497
2.2	XZZ	21	23	17	0.776463221124386
2.2	XZZ	17	21	13	0.820017052739426
2.2	XZZ	13	17	9	0.788107433934009
2.2	XZZ	9	13	5	-0.0102876588492129
2.2	XZZ	5	9	1	-0.016852147859529

2.25	XZZ	1	5	3	0.711948122728293
2.25	XZZ	3	1	7	0.753925946775486
2.25	XZZ	7	3	11	0.792839300940143
2.25	XZZ	11	7	15	0.75103804589282
2.25	XZZ	15	11	19	0.555400221940996
2.25	XZZ	19	15	23	0.642941949854517
2.25	XZZ	23	19	21	0.730884680053646
2.25	XZZ	21	23	17	0.763659997944538
2.25	XZZ	17	21	13	0.809810273019372
2.25	XZZ	13	17	9	0.779379318462715
2.25	XZZ	9	13	5	-0.0243891809370495
2.25	XZZ	5	9	1	-0.0331212509891344

2.3	XZZ	1	5	3	0.695383732969941
2.3	XZZ	3	1	7	0.739307870549603
2.3	XZZ	7	3	11	0.779976239391718
2.3	XZZ	11	7	15	0.739219983005546
2.3	XZZ	15	11	19	0.526508727077029
2.3	XZZ	19	15	23	0.624757476572831
2.3	XZZ	23	19	21	0.717603790309361
