#time	quantity	value
4.9 	tr_rho	1
4.9 	S_2	9.49697874352002
4.9 	OSEE_center	1.29367045438605
4.9 	max_bond_dim	66
4.9 	duration_ms	7309246

4.95 	tr_rho	1.00000001216063
4.95 	S_2	9.50555308498728
4.95 	OSEE_center	1.26554754554246
4.95 	max_bond_dim	75
4.95 	duration_ms	7387307

5 	tr_rho	1
5 	S_2	9.51408242531129
5 	OSEE_center	1.23741848709016
5 	max_bond_dim	64
5 	duration_ms	7488988

5.05 	tr_rho	1
5.05 	S_2	9.52256651565931
5.05 	OSEE_center	1.20929667860541
5.05 	max_bond_dim	66
5.05 	duration_ms	7572267

5.1 	tr_rho	0.999999997213614
5.1 	S_2	9.53100530843405
5.1 	OSEE_center	1.1811958347905
5.1 	max_bond_dim	74
5.1 	duration_ms	7652636

5.15 	tr_rho	1
5.15 	S_2	9.53939885745621
5.15 	OSEE_center	1.1531299871892
5.15 	max_bond_dim	63
5.15 	duration_ms	7745788

5.2 	tr_rho	1
5.2 	S_2	9.54774736616697
5.2 	OSEE_center	1.12511348620026
5.2 	max_bond_dim	64
5.2 	duration_ms	7823450

5.25 	tr_rho	0.999999995573954
5.25 	S_2	9.55605115430918
5.25 	OSEE_center	1.09716100358251
5.25 	max_bond_dim	72
5.25 	duration_ms	7895832

5.3 	tr_rho	0.999999999999999
5.3 	S_2	9.56431066898823
5.3 	OSEE_center	1.06928753576757
5.3 	max_bond_dim	64
5.3 	duration_ms	7991658

5.35 	tr_rho	1
5.35 	S_2	9.57252651218416
5.35 	OSEE_center	1.04150840826841
5.35 	max_bond_dim	65
5.35 	duration_ms	8071263

5.4 	tr_rho	0.999999967288396
5.4 	S_2	9.58069938575535
5.4 	OSEE_center	1.01383928144362
5.4 	max_bond_dim	75
5.4 	duration_ms	8147804

5.45 	tr_rho	0.999999999999998
5.45 	S_2	9.58883005481468
5.45 	OSEE_center	0.986296158017451
5.45 	max_bond_dim	66
5.45 	duration_ms	8241404

5.5 	tr_rho	1
5.5 	S_2	9.59691959494879
5.5 	OSEE_center	0.958895392706978
5.5 	max_bond_dim	67
5.5 	duration_ms	8319499

5.55 	tr_rho	0.999999981760602
5.55 	S_2	9.6049689936611
5.55 	OSEE_center	0.931653704315966
5.55 	max_bond_dim	73
5.55 	duration_ms	8388786

5.6 	tr_rho	1
5.6 	S_2	9.61297936698789
5.6 	OSEE_center	0.904588190790458
5.6 	max_bond_dim	68
5.6 	duration_ms	8474075

5.65 	tr_rho	1
5.65 	S_2	9.62095203075658
5.65 	OSEE_center	0.87771634766883
5.65 	max_bond_dim	68
5.65 	duration_ms	8556287

5.7 	tr_rho	0.999999968254139
5.7 	S_2	9.62888827329142
5.7 	OSEE_center	0.851056090492161
5.7 	max_bond_dim	72
5.7 	duration_ms	8642301

5.75 	tr_rho	1
5.75 	S_2	9.63678942620054
5.75 	OSEE_center	0.824625781784052
5.75 	max_bond_dim	69
5.75 	duration_ms	8742214

5.8 	tr_rho	1
5.8 	S_2	9.64465707178339
5.8 	OSEE_center	0.79844426325583
5.8 	max_bond_dim	69
5.8 	duration_ms	8817017

5.85 	tr_rho	0.999999962849742
5.85 	S_2	9.65249264968407
5.85 	OSEE_center	0.772530894141614
5.85 	max_bond_dim	76
5.85 	duration_ms	8887126

5.9 	tr_rho	1
5.9 	S_2	9.6602976249361
5.9 	OSEE_center	0.746905596607458
5.9 	max_bond_dim	69
5.9 	duration_ms	8971240

5.95 	tr_rho	1
5.95 	S_2	9.66807370958859
5.95 	OSEE_center	0.721588909458449
5.95 	max_bond_dim	70
5.95 	duration_ms	9041940

6 	tr_rho	0.99999998921455
6 	S_2	9.67582240473805
6 	OSEE_center	0.69660205172301
6 	max_bond_dim	78
6 	duration_ms	9116565

6.05 	tr_rho	1
6.05 	S_2	9.683545262958
6.05 	OSEE_center	0.671966998074245
6.05 	max_bond_dim	71
6.05 	duration_ms	9202423

6.1 	tr_rho	1
6.1 	S_2	9.69124388836605
6.1 	OSEE_center	0.647706568628431
6.1 	max_bond_dim	71
6.1 	duration_ms	9273773

6.15 	tr_rho	0.99999997600296
6.15 	S_2	9.69891979565247
6.15 	OSEE_center	0.623844536574982
6.15 	max_bond_dim	77
6.15 	duration_ms	9338424

6.2 	tr_rho	1
6.2 	S_2	9.70657443584632
6.2 	OSEE_center	0.600405758116636
6.2 	max_bond_dim	70
6.2 	duration_ms	9410986

6.25 	tr_rho	1
6.25 	S_2	9.71420935506296
6.25 	OSEE_center	0.577416330768695
6.25 	max_bond_dim	70
6.25 	duration_ms	9478685

6.3 	tr_rho	0.999999984372008
6.3 	S_2	9.72182589670815
6.3 	OSEE_center	0.554903788331009
6.3 	max_bond_dim	79
6.3 	duration_ms	9547228

6.35 	tr_rho	1
6.35 	S_2	9.72942535176497
6.35 	OSEE_center	0.532897343895367
6.35 	max_bond_dim	69
6.35 	duration_ms	9641389

6.4 	tr_rho	1
6.4 	S_2	9.73700902592904
6.4 	OSEE_center	0.511428196924205
6.4 	max_bond_dim	70
6.4 	duration_ms	9719838

6.45 	tr_rho	0.999999979008493
6.45 	S_2	9.74457804473288
6.45 	OSEE_center	0.490529927765667
6.45 	max_bond_dim	79
6.45 	duration_ms	9784552

6.5 	tr_rho	0.999999999999998
6.5 	S_2	9.75213342825009
6.5 	OSEE_center	0.470239014590343
6.5 	max_bond_dim	69
6.5 	duration_ms	9870151

6.55 	tr_rho	1
6.55 	S_2	9.75967622110886
6.55 	OSEE_center	0.450595527311515
6.55 	max_bond_dim	69
6.55 	duration_ms	9949956

6.6 	tr_rho	0.999999997575978
6.6 	S_2	9.76720723616792
6.6 	OSEE_center	0.431644087498192
6.6 	max_bond_dim	79
6.6 	duration_ms	10022604

6.65 	tr_rho	1
6.65 	S_2	9.77472721283176
6.65 	OSEE_center	0.413435245174476
6.65 	max_bond_dim	69
6.65 	duration_ms	10108773

6.7 	tr_rho	0.999999999999999
6.7 	S_2	9.782236791094
6.7 	OSEE_center	0.396027541018487
6.7 	max_bond_dim	70
6.7 	duration_ms	10181004

6.75 	tr_rho	0.999999998787021
6.75 	S_2	9.78973648050758
6.75 	OSEE_center	0.379490754118349
6.75 	max_bond_dim	78
6.75 	duration_ms	10258562

6.8 	tr_rho	1
6.8 	S_2	9.79722667717963
6.8 	OSEE_center	0.363911304805688
6.8 	max_bond_dim	69
6.8 	duration_ms	10343836

6.85 	tr_rho	1
6.85 	S_2	9.80470766851165
6.85 	OSEE_center	0.349401706945379
6.85 	max_bond_dim	69
6.85 	duration_ms	10419551

6.9 	tr_rho	1.00000001062265
6.9 	S_2	9.81217962074917
6.9 	OSEE_center	0.336117321006572
6.9 	max_bond_dim	77
6.9 	duration_ms	10497821

6.95 	tr_rho	1
6.95 	S_2	9.81964261263074
6.95 	OSEE_center	0.324283134442949
6.95 	max_bond_dim	69
6.95 	duration_ms	10590266

7 	tr_rho	1
7 	S_2	9.82709655257376
7 	OSEE_center	0.313946097384783
7 	max_bond_dim	69
7 	duration_ms	10673121

7.05 	tr_rho	0.999999986498724
7.05 	S_2	9.83454131092391
7.05 	OSEE_center	0.304816750762694
7.05 	max_bond_dim	76
7.05 	duration_ms	10748703

7.1 	tr_rho	0.999999999999999
7.1 	S_2	9.84197661461253
7.1 	OSEE_center	0.296733747556358
7.1 	max_bond_dim	68
7.1 	duration_ms	10837942

7.15 	tr_rho	1
7.15 	S_2	9.84940218329019
7.15 	OSEE_center	0.289601225001416
7.15 	max_bond_dim	70
7.15 	duration_ms	10917039

7.2 	tr_rho	1.00000000846875
7.2 	S_2	9.8568175759951
7.2 	OSEE_center	0.283350504766965
7.2 	max_bond_dim	79
7.2 	duration_ms	10998301

7.25 	tr_rho	1
7.25 	S_2	9.86422232488864
7.25 	OSEE_center	0.277928346414757
7.25 	max_bond_dim	70
7.25 	duration_ms	11088556

7.3 	tr_rho	0.999999999999999
7.3 	S_2	9.87161585039784
7.3 	OSEE_center	0.273291563361246
7.3 	max_bond_dim	71
7.3 	duration_ms	11160708

7.35 	tr_rho	1.00000001157648
7.35 	S_2	9.87899757319646
7.35 	OSEE_center	0.26940407923548
7.35 	max_bond_dim	77
7.35 	duration_ms	11240513

7.4 	tr_rho	0.999999999999999
7.4 	S_2	9.88636688049521
7.4 	OSEE_center	0.266235136024184
7.4 	max_bond_dim	70
7.4 	duration_ms	11330368

7.45 	tr_rho	1
7.45 	S_2	9.89372306214809
7.45 	OSEE_center	0.263758120456053
7.45 	max_bond_dim	71
7.45 	duration_ms	11400960

7.5 	tr_rho	1.00000001779526
7.5 	S_2	9.90106546042991
7.5 	OSEE_center	0.261949753681412
7.5 	max_bond_dim	80
7.5 	duration_ms	11477240

7.55 	tr_rho	1
7.55 	S_2	9.9083934258521
7.55 	OSEE_center	0.260789509633021
7.55 	max_bond_dim	72
7.55 	duration_ms	11563886

7.6 	tr_rho	1
7.6 	S_2	9.91570620898728
7.6 	OSEE_center	0.260259185422616
7.6 	max_bond_dim	72
7.6 	duration_ms	11644169

7.65 	tr_rho	1.00000002519352
7.65 	S_2	9.92300318618737
7.65 	OSEE_center	0.260342577496056
7.65 	max_bond_dim	79
7.65 	duration_ms	11730309

7.7 	tr_rho	1
7.7 	S_2	9.93028377912464
7.7 	OSEE_center	0.261025234350381
7.7 	max_bond_dim	72
7.7 	duration_ms	11824875

7.75 	tr_rho	1
7.75 	S_2	9.93754730004216
7.75 	OSEE_center	0.262294266566411
7.75 	max_bond_dim	73
7.75 	duration_ms	11895581

7.8 	tr_rho	1.00000005359338
7.8 	S_2	9.94479326495384
7.8 	OSEE_center	0.264138201049182
7.8 	max_bond_dim	80
7.8 	duration_ms	11974220

7.85 	tr_rho	0.999999999999999
7.85 	S_2	9.95202130957381
7.85 	OSEE_center	0.266546870460365
7.85 	max_bond_dim	73
7.85 	duration_ms	12064151

7.9 	tr_rho	0.999999999999999
7.9 	S_2	9.95923082034747
7.9 	OSEE_center	0.269511331416236
7.9 	max_bond_dim	74
7.9 	duration_ms	12144992

7.95 	tr_rho	1.00000006347007
7.95 	S_2	9.96642158624941
7.95 	OSEE_center	0.273023806856946
7.95 	max_bond_dim	78
7.95 	duration_ms	12222330

8 	tr_rho	0.999999999999999
8 	S_2	9.97359350537578
8 	OSEE_center	0.277077649497866
8 	max_bond_dim	76
8 	duration_ms	12312271

8.05 	tr_rho	1
8.05 	S_2	9.98074619098802
8.05 	OSEE_center	0.281667324277716
8.05 	max_bond_dim	77
8.05 	duration_ms	12396547

8.1 	tr_rho	1.00000001922453
8.1 	S_2	9.98787973916478
8.1 	OSEE_center	0.286788408546514
8.1 	max_bond_dim	83
8.1 	duration_ms	12474935

8.15 	tr_rho	0.999999999999999
8.15 	S_2	9.99499426410942
8.15 	OSEE_center	0.292437609745377
8.15 	max_bond_dim	81
8.15 	duration_ms	12567624

8.2 	tr_rho	1
8.2 	S_2	10.0020898753933
8.2 	OSEE_center	0.298612800997626
8.2 	max_bond_dim	80
8.2 	duration_ms	12646101

8.25 	tr_rho	1.00000001183189
8.25 	S_2	10.0091669111785
8.25 	OSEE_center	0.305313075962909
8.25 	max_bond_dim	84
8.25 	duration_ms	12720997

8.3 	tr_rho	0.999999999999999
8.3 	S_2	10.0162258090658
8.3 	OSEE_center	0.312538825432643
8.3 	max_bond_dim	79
8.3 	duration_ms	12819886

8.35 	tr_rho	1
8.35 	S_2	10.023267050571
8.35 	OSEE_center	0.320291839398573
