#time	operator	index	value
2.85	Y	1	-0.389526769979266
2.85	Z	1	0.00581153233941724
2.85	X	3	0.307161742862241
2.85	Y	3	-0.506444614229726
2.85	Z	3	-0.017953266594456
2.85	X	5	0.731523638772865
2.85	Y	5	-0.346523698377014
2.85	Z	5	0.0078977558378316

2.9	X	1	0.604689513393282
2.9	Y	1	-0.391198095337509
2.9	Z	1	0.00621671613454255
2.9	X	3	0.292951707180974
2.9	Y	3	-0.503302599784094
2.9	Z	3	-0.0177644782279273
2.9	X	5	0.724082508782115
2.9	Y	5	-0.349936072098601
2.9	Z	5	0.00809868652102928

2.95	X	1	0.593868651803585
2.95	Y	1	-0.3926434048366
2.95	Z	1	0.00662173479608172
2.95	X	3	0.278934367941909
2.95	Y	3	-0.499763671562319
2.95	Z	3	-0.0175757248738342
2.95	X	5	0.716569544941621
2.95	Y	5	-0.353223424063501
2.95	Z	5	0.00829957650694592

3	X	1	0.582995787378057
3	Y	1	-0.393861783372696
3	Z	1	0.00702658839133515
3	X	3	0.265122400774176
3	Y	3	-0.495837625638904
3	Z	3	-0.0173870065257179
3	X	5	0.708987035014059
3	Y	5	-0.356384678082367
3	Z	5	0.00850042580759364

3.05	X	1	0.572076027081836
3.05	Y	1	-0.394852428845942
3.05	Z	1	0.00743127698757545
3.05	X	3	0.251528046197168
3.05	Y	3	-0.491534691254593
3.05	Z	3	-0.0171983231770942
3.05	X	5	0.701337284032616
3.05	Y	5	-0.359418799344298
3.05	Z	5	0.0087012344324204

3.1	X	1	0.561114490369142
3.1	Y	1	-0.395614652369341
3.1	Z	1	0.00783580065204549
3.1	X	3	0.238163094158567
3.1	Y	3	-0.486865512228846
3.1	Z	3	-0.0170096748214202
3.1	X	5	0.693622613622571
3.1	Y	5	-0.362324794802127
3.1	Z	5	0.00890200238389997

3.15	X	1	0.550116306667217
3.15	Y	1	-0.396147878421807
3.15	Z	1	0.00824015945196833
3.15	X	3	0.225038869353307
3.15	Y	3	-0.481841127808467
3.15	Z	3	-0.0168210614522513
3.15	X	5	0.685845361046791
3.15	Y	5	-0.36510171309907
3.15	Z	5	0.00910272967507179

3.2	X	1	0.539086612859138
3.2	Y	1	-0.396451644945145
3.2	Z	1	0.00864435345453313
3.2	X	3	0.212166217344141
3.2	Y	3	-0.476472952984727
3.2	Z	3	-0.0166324830631057
3.2	X	5	0.678007878553607
3.2	Y	5	-0.36774864502164
3.2	Z	5	0.00930341631500442

3.25	X	1	0.528030550767404
